,Company,Bar_name,Review_update,Review_date,Cocoa_percentage,Company_location,Quality,Bean_type,Beans_location,Quality(round)
69,Ambrosia,Belize,1494,2015,64.0,Canada,3.0,Trinitario,Belize,5
70,Ambrosia,Madagascar,1494,2015,66.0,Canada,3.25,Trinitario,Madagascar,3
71,Ambrosia,Dominican Republic,1498,2015,75.0,Canada,3.25,,Dominican Republic,3
72,Ambrosia,Papua New Guinea,1498,2015,63.0,Canada,3.25,,Papua New Guinea,3
73,Ambrosia,Venezuela,1498,2015,70.0,Canada,3.25,,Venezuela,3
74,Ambrosia,Peru,1498,2015,68.0,Canada,3.5,,Peru,3
75,Amedei,"Piura, Blanco de Criollo",979,2012,70.0,Italy,3.75,,Peru,3
76,Amedei,Porcelana,111,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela,5
77,Amedei,Nine,111,2007,75.0,Italy,4.0,Blend, ,5
78,Amedei,Chuao,111,2007,70.0,Italy,5.0,Trinitario,Venezuela,5
79,Amedei,Ecuador,123,2007,70.0,Italy,3.0,Trinitario,Ecuador,5
80,Amedei,Jamaica,123,2007,70.0,Italy,3.0,Trinitario,Jamaica,5
81,Amedei,Grenada,123,2007,70.0,Italy,3.5,Trinitario,Grenada,3
82,Amedei,Venezuela,123,2007,70.0,Italy,3.75,Trinitario (85% Criollo),Venezuela,3
83,Amedei,Madagascar,123,2007,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar,5
84,Amedei,Trinidad,129,2007,70.0,Italy,3.5,Trinitario,Trinidad,3
85,Amedei,Toscano Black,170,2007,63.0,Italy,3.5,Blend, ,3
86,Amedei,Toscano Black,40,2006,70.0,Italy,5.0,Blend, ,5
87,Amedei,Toscano Black,75,2006,66.0,Italy,4.0,Blend, ,5
88,AMMA,Catongo,1065,2013,75.0,Brazil,3.25,Forastero (Catongo),Brazil,3
89,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,Forastero (Parazinho),Brazil,2
90,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,Forastero (Parazinho),Brazil,3
91,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,Forastero (Parazinho),Brazil,3
92,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,Forastero (Parazinho),Brazil,5
93,Anahata,Elvesia,1259,2014,75.0,U.S.A.,3.0,,Dominican Republic,5
94,Animas,Alto Beni,1852,2016,75.0,U.S.A.,3.5,,Bolivia,3
95,Ara,Madagascar,1375,2014,75.0,France,3.0,Trinitario,Madagascar,5
96,Ara,Chiapas,1379,2014,72.0,France,2.5,,Mexico,2
97,Ara,Equateur,1379,2014,75.0,France,2.75,,Ecuador,2
98,Ara,Trincheras,1379,2014,75.0,France,3.0,,Venezuela,5
99,Arete,San Juan,1724,2016,70.0,U.S.A.,3.5,Trinitario,Trinidad,3
100,Arete,Kokoa Kamili,1724,2016,70.0,U.S.A.,3.75,,Tanzania,3
101,Arete,Tien Giang,1900,2016,73.0,U.S.A.,3.5,Trinitario,Vietnam,3
102,Arete,Hacienda Victoria,1904,2016,70.0,U.S.A.,3.25,,Ecuador,3
103,Arete,Costa Esmeraldas,1904,2016,70.0,U.S.A.,3.25,,Ecuador,3
104,Arete,Lachua,1904,2016,70.0,U.S.A.,3.5,,Guatemala,3
105,Arete,Rugoso,1904,2016,70.0,U.S.A.,3.75,,Nicaragua,3
106,Arete,"La Masica, FHIA",1908,2016,70.0,U.S.A.,3.5,,Honduras,3
107,Arete,"Coto Brus, Terciopelo",1908,2016,70.0,U.S.A.,4.0,,Costa Rica,5
108,Arete,Phantom,1924,2016,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,5
109,Arete,Elvesia,1928,2016,70.0,U.S.A.,3.75,,Dominican Republic,3
110,Arete,Matasawalevu,1928,2016,70.0,U.S.A.,3.25,,Fiji,3
111,Arete,Lam Dong,1928,2016,73.0,U.S.A.,3.25,,Vietnam,3
112,Arete,Fazenda Camboa,1534,2015,70.0,U.S.A.,3.5,,Brazil,3
113,Arete,Nacional,1534,2015,68.0,U.S.A.,3.5,Forastero (Nacional),Peru,3
114,Arete,"Puerto Quito, heirloom",1534,2015,70.0,U.S.A.,3.75,Forastero (Nacional),Ecuador,3
115,Arete,Oko Caribe,1598,2015,70.0,U.S.A.,3.5,,Domincan Republic,3
116,Arete,Maya Mountain,1598,2015,70.0,U.S.A.,3.75,Trinitario,Belize,3
117,Arete,Chuno,1598,2015,70.0,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua,5
118,Arete,Fazenda Camboa,1602,2015,75.0,U.S.A.,2.75,,Brazil,2
119,Arete,Guatemala,1602,2015,70.0,U.S.A.,3.25,,Guatemala,3
120,Arete,Camino Verde,1602,2015,75.0,U.S.A.,3.5,,Ecuador,3
121,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72.0,U.K.,3.25,Trinitario,Trinidad,3
122,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72.0,U.K.,3.75,,Colombia,3
123,Artisan du Chocolat,Haiti,729,2011,72.0,U.K.,4.0,,Haiti,5
124,Artisan du Chocolat,Panama,745,2011,72.0,U.K.,2.75,,Panama,2
125,Artisan du Chocolat,Venezuela,486,2010,100.0,U.K.,1.75,,Venezuela,1
126,Artisan du Chocolat,Jamaica,531,2010,72.0,U.K.,3.75,Trinitario,Jamaica,3
127,Artisan du Chocolat,Costa Rica,600,2010,72.0,U.K.,3.25,,Costa Rica,3
128,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72.0,U.K.,3.25,Trinitario,Vietnam,3
129,Artisan du Chocolat,Bali,600,2010,72.0,U.K.,3.5,,Indonesia,3
130,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75.0,U.K.,2.5,"Criollo, Trinitario",Venezuela,2
131,Artisan du Chocolat,Java,355,2009,72.0,U.K.,2.75,Trinitario,Indonesia,2
132,Artisan du Chocolat,Brazil Rio Doce,363,2009,72.0,U.K.,1.75,,Brazil,1
133,Artisan du Chocolat,Madagascar,363,2009,80.0,U.K.,3.0,"Criollo, Trinitario",Madagascar,5
134,Artisan du Chocolat,Peru,363,2009,75.0,U.K.,3.0,Criollo,Peru,5
135,Artisan du Chocolat,Dominican Republic,363,2009,72.0,U.K.,3.25,Trinitario,Dominican Republic,3
136,Artisan du Chocolat,Congo,300,2008,72.0,U.K.,3.75,Forastero,Congo,3
137,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72.0,U.K.,2.75,Trinitario,Colombia,2
138,Askinosie,Mababa,1780,2016,68.0,U.S.A.,3.75,Trinitario,Tanzania,3
139,Askinosie,"Tenende, Uwate",647,2011,72.0,U.S.A.,3.75,Trinitario,Tanzania,3
140,Askinosie,Cortes,661,2011,70.0,U.S.A.,3.75,Trinitario,Honduras,3
141,Askinosie,Davao,331,2009,77.0,U.S.A.,3.75,Trinitario,Philippines,3
142,Askinosie,Xoconusco,141,2007,75.0,U.S.A.,2.5,Trinitario,Mexico,2
143,Askinosie,San Jose del Tambo,175,2007,70.0,U.S.A.,3.0,Forastero (Arriba),Ecuador,5
144,Bahen & Co.,Houseblend,1474,2015,80.0,Australia,3.25,, ,3
145,Bahen & Co.,Papua New Guinea,1474,2015,70.0,Australia,3.5,,Papua New Guinea,3
146,Bahen & Co.,Sambirano,995,2012,70.0,Australia,3.0,Trinitario,Madagascar,5
147,Bahen & Co.,Bahia,999,2012,70.0,Australia,2.5,,Brazil,2
148,Bahen & Co.,Houseblend,999,2012,70.0,Australia,2.5,Blend, ,2
149,Bakau,"Bambamarca, 2015",1454,2015,70.0,Peru,2.75,,Peru,2
150,Bakau,"Huallabamba, 2015",1454,2015,70.0,Peru,3.5,,Peru,3
151,Bar Au Chocolat,Bahia,1554,2015,70.0,U.S.A.,3.5,,Brazil,3
152,Bar Au Chocolat,Maranon Canyon,1295,2014,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,5
153,Bar Au Chocolat,Duarte Province,983,2012,70.0,U.S.A.,3.25,,Dominican Republic,3
154,Bar Au Chocolat,Chiapas,983,2012,70.0,U.S.A.,3.5,,Mexico,3
155,Bar Au Chocolat,Sambirano,983,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,3
156,Baravelli's,single estate,955,2012,80.0,Wales,2.75,,Costa Rica,2
157,Batch,"Dominican Republic, Batch 3",1840,2016,65.0,U.S.A.,3.5,,Domincan Republic,3
158,Batch,Brazil,1868,2016,70.0,U.S.A.,3.75,,Brazil,3
159,Batch,Ecuador,1880,2016,65.0,U.S.A.,3.25,,Ecuador,3
160,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73.0,U.K.,3.0,,Malaysia,5
161,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72.0,U.K.,3.25,,Malaysia,3
162,Beehive,"Brazil, Batch 20316",1784,2016,80.0,U.S.A.,2.75,,Brazil,2
163,Beehive,"Dominican Republic, Batch 31616",1784,2016,70.0,U.S.A.,2.75,,Domincan Republic,2
164,Beehive,"Ecuador, Batch 31516",1784,2016,70.0,U.S.A.,2.75,,Ecuador,2
165,Beehive,Ecuador,1788,2016,90.0,U.S.A.,2.75,,Ecuador,2
166,Belcolade,Costa Rica,586,2010,64.0,Belgium,2.75,,Costa Rica,2
167,Belcolade,Papua New Guinea,586,2010,64.0,Belgium,2.75,,Papua New Guinea,2
168,Belcolade,Peru,586,2010,64.0,Belgium,2.75,,Peru,2
169,Belcolade,Ecuador,586,2010,71.0,Belgium,3.5,,Ecuador,3
170,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70.0,U.S.A.,3.5,"Criollo, Trinitario",Tanzania,3
171,Bellflower,"Alto Beni, Palos Blanco",1804,2016,70.0,U.S.A.,3.25,,Bolivia,3
172,Bellflower,"Oko Caribe, Duarte P.",1864,2016,70.0,U.S.A.,3.5,,Domincan Republic,3
173,Belyzium,"Belize south, low fermentation",1768,2016,83.0,Germany,2.75,Trinitario,Belize,2
174,Belyzium,Belize south,1768,2016,78.0,Germany,3.0,Trinitario,Belize,5
175,Belyzium,Belize south,1768,2016,83.0,Germany,3.5,Trinitario,Belize,3
176,Benoit Nihant,Baracoa,1141,2013,74.0,Belgium,3.5,Trinitario,Cuba,3
177,Benoit Nihant,Chuao,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,3
178,Benoit Nihant,Cuyagua Village,1141,2013,74.0,Belgium,3.5,Criollo,Venezuela,3
179,Benoit Nihant,Rio Peripa H.,1141,2013,73.0,Belgium,4.0,Trinitario,Ecuador,5
180,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72.0,Belgium,4.0,Trinitario,Indonesia,5
181,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72.0,Belgium,3.75,Trinitario,Madagascar,3
182,Bernachon,Nature,797,2012,55.0,France,2.75,, ,2
183,Beschle (Felchlin),Madagascar,636,2011,64.0,Switzerland,3.0,Trinitario,Madagascar,5
184,Beschle (Felchlin),Maracaibo,636,2011,88.0,Switzerland,3.0,Criollo,Venezuela,5
185,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72.0,Switzerland,3.5,,Venezuela,3
186,Beschle (Felchlin),Ecuador,636,2011,72.0,Switzerland,4.0,,Ecuador,5
187,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70.0,Switzerland,3.25,Trinitario,Venezuela,3
188,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74.0,Switzerland,3.25,Criollo (Porcelana),Venezuela,3
189,Beschle (Felchlin),"Java, Grand Cru",508,2010,64.0,Switzerland,3.5,,Indonesia,3
190,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72.0,Switzerland,3.5,,Venezuela,3
191,Bisou,"Nicaragua, American style",1482,2015,76.0,U.S.A.,2.5,,Nicaragua,2
192,Bisou,"San Andres, American style",1486,2015,76.0,U.S.A.,2.5,,Costa Rica,2
193,Bisou,"San Andres, silk",1486,2015,78.0,U.S.A.,2.5,,Costa Rica,2
194,Bisou,Belize,1486,2015,86.0,U.S.A.,3.25,Trinitario,Belize,3
195,Bittersweet Origins,Ghana,963,2012,72.0,U.S.A.,3.5,Forastero,Ghana,3
196,Bittersweet Origins,"Bali, Singaraja",478,2010,75.0,U.S.A.,3.25,,Indonesia,3
197,Bittersweet Origins,2009 Hapa Nibby,502,2010,70.0,U.S.A.,3.75,Blend,"Dominican Rep., Bali",3
198,Bittersweet Origins,"Bali, Singaraja",558,2010,65.0,U.S.A.,2.75,,Indonesia,2
199,Bittersweet Origins,"Sambirano, 2009",565,2010,70.0,U.S.A.,3.0,Trinitario,Madagascar,5
200,Bittersweet Origins,"Ocumare, prototype",565,2010,78.0,U.S.A.,3.0,Criollo,Venezuela,5
201,Bittersweet Origins,Puerto Plata,414,2009,75.0,U.S.A.,3.0,,Dominican Republic,5
202,Bittersweet Origins,Puerto Plata,414,2009,65.0,U.S.A.,3.5,,Dominican Republic,3
203,Bittersweet Origins,Sambirano,423,2009,75.0,U.S.A.,3.25,Trinitario,Madagascar,3
204,Bittersweet Origins,Sambirano,431,2009,65.0,U.S.A.,3.5,Trinitario,Madagascar,3
205,Bittersweet Origins,Sambirano,233,2008,71.0,U.S.A.,3.0,Trinitario,Madagascar,5
206,Bittersweet Origins,Bocas del Toro,233,2008,75.0,U.S.A.,3.5,,Panama,3
207,Bittersweet Origins,Puerto Plata,233,2008,68.0,U.S.A.,3.75,,Dominican Republic,3
208,Bittersweet Origins,Ankasa,256,2008,70.0,U.S.A.,3.0,Forastero,Ghana,5
209,Black Mountain,La Red,256,2008,70.0,U.S.A.,2.75,,Dominican Republic,2
210,Black Mountain,Carenero Superior,256,2008,70.0,U.S.A.,2.75,Trinitario,Venezuela,2
211,Black Mountain,Matiguas,256,2008,70.0,U.S.A.,3.0,,Nicaragua,5
212,Black River (A. Morin),Blue Mountain Region,1331,2014,70.0,U.K.,2.75,Trinitario,Jamaica,2
213,Blanxart,"Congo, Grand Cru",1046,2013,82.0,Spain,3.5,Forastero,Congo,3
214,Blanxart,Organic Dark,322,2009,72.0,Spain,2.75,, ,2
215,Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82.0,U.S.A.,3.5,Trinitario,Madagascar,3
216,Blue Bandana,Lachua,1752,2016,75.0,U.S.A.,2.75,,Guatemala,2
217,Blue Bandana,Kokoa Kamili,1752,2016,75.0,U.S.A.,3.5,,Tanzania,3
218,Blue Bandana,Zorzal Reserva,1756,2016,75.0,U.S.A.,3.0,,Dominican Republic,5
219,Blue Bandana,Guatemala,911,2012,70.0,U.S.A.,3.5,,Guatemala,3
220,Blue Bandana,Madagascar,911,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,3
221,Bonnat,Selva Maya,1912,2016,75.0,France,3.5,,Mexico,3
222,Bonnat,Kaori,1339,2014,75.0,France,4.0,,Brazil,5
223,Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75.0,France,3.25,,Dominican Republic,3
224,Bonnat,Surfin,1418,2014,65.0,France,3.75,,"Venez,Africa,Brasil,Peru,Mex",3
225,Bonnat,Maragnam,1038,2013,75.0,France,3.5,,Brazil,3
226,Bonnat,Gabon,1042,2013,75.0,France,3.25,,Gabon,3
227,Bonnat,Cuba,629,2011,75.0,France,3.5,Trinitario,Cuba,3
228,Bonnat,"Cusco, Cacao Cusco",629,2011,75.0,France,3.5,,Peru,3
229,Bonnat,Piura Blanco,629,2011,75.0,France,3.5,Forastero (Nacional),Peru,3
230,Bonnat,Libanio,629,2011,75.0,France,3.75,,Brazil,3
231,Bonnat,Haiti,629,2011,75.0,France,4.0,,Haiti,5
232,Bonnat,"Madagascar, 100% criollo",629,2011,75.0,France,4.0,Criollo,Madagascar,5
233,Bonnat,Juliana,672,2011,75.0,France,3.5,,Brazil,3
234,Bonnat,Jamaique,761,2011,75.0,France,3.25,Trinitario,Jamaica,3
235,Bonnat,Ivory Coast,331,2009,75.0,France,3.0,,Ivory Coast,5
236,Bonnat,"Porcelana, Apotequil",336,2009,75.0,France,2.75,Criollo,Peru,2
237,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75.0,France,3.0,Criollo,Mexico,5
238,Bonnat,"Xoconusco, cacao Real",395,2009,75.0,France,3.0,Criollo,Mexico,5
239,Bonnat,"Porcelana, Venezuela",199,2008,75.0,France,4.0,Criollo (Porcelana),Venezuela,5
240,Bonnat,Equateur,123,2007,75.0,France,2.5,Forastero (Arriba),Ecuador,2
241,Bonnat,Trinite,24,2006,75.0,France,3.75,Trinitario,Carribean,3
242,Bonnat,"Ocumare, Puerto Cabello",32,2006,75.0,France,4.0,,Venezuela,5
243,Bonnat,"Maracaibo, El Rosario",48,2006,75.0,France,4.0,Criollo,Venezuela,5
244,Bonnat,Madagascar,75,2006,75.0,France,4.0,Trinitario,Madagascar,5
245,Bonnat,One Hundred,81,2006,100.0,France,1.5,, ,1
246,Bonnat,Ceylan,81,2006,75.0,France,3.0,,Sri Lanka,5
247,Bonnat,Chuao,81,2006,75.0,France,4.0,Trinitario,Venezuela,5
248,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77.0,Ecuador,3.25,Forastero (Arriba),Ecuador,3
249,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100.0,Ecuador,1.5,Forastero (Arriba),Ecuador,1
250,Bowler Man,Maya Mountain,1267,2014,70.0,U.S.A.,2.75,Trinitario,Belize,2
251,Bowler Man,Conacado,1271,2014,70.0,U.S.A.,2.75,,Dominican Republic,2
252,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70.0,U.S.A.,3.5,Criollo,Venezuela,3
253,Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70.0,U.S.A.,3.75,,Nicaragua,3
254,Brasstown aka It's Chocolate,Conacado,1462,2015,68.0,U.S.A.,3.75,,Dominican Republic,3
255,Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70.0,U.S.A.,3.75,Trinitario,Belize,3
256,Brasstown aka It's Chocolate,Chuao,1355,2014,70.0,U.S.A.,4.0,Trinitario,Venezuela,5
257,Brasstown aka It's Chocolate,Cooproagro,1125,2013,72.0,U.S.A.,3.0,Trinitario,Dominican Republic,5
258,Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70.0,U.S.A.,3.25,,Ecuador,3
259,Brasstown aka It's Chocolate,Ghana,1129,2013,75.0,U.S.A.,3.5,Forastero,Ghana,3
260,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85.0,U.S.A.,3.5,Trinitario,Venezuela,3
261,Brazen,Elvesia P.,1514,2015,60.0,U.S.A.,3.0,,Dominican Republic,5
262,Brazen,Elvesia P.,1514,2015,80.0,U.S.A.,3.25,,Dominican Republic,3
263,Brazen,"Alta Verapaz, 2014",1514,2015,70.0,U.S.A.,3.5,,Guatemala,3
264,Brazen,Ambolikapiky P.,1518,2015,80.0,U.S.A.,2.75,,Madagascar,2
265,Brazen,Maya Mountain,1518,2015,80.0,U.S.A.,3.25,Trinitario,Belize,3
266,Brazen,Ambolikapkly P.,1518,2015,60.0,U.S.A.,3.25,,Madagascar,3
267,Breeze Mill,Jamaica,1149,2013,70.0,U.S.A.,3.0,Trinitario,Jamaica,5
268,Bright,Somia Plantation,1231,2014,72.0,Australia,3.0,Trinitario,Madagascar,5
269,Bright,Marabel Farms,1231,2014,70.0,Australia,3.5,,Dominican Republic,3
270,Bright,"Camino Verde, Balao, Guayas",1231,2014,72.0,Australia,3.5,,Ecuador,3
271,Bright,Gran Couva,1235,2014,68.0,Australia,2.75,Trinitario,Trinidad,2
272,Britarev,Ecuador,1638,2015,70.0,Russia,3.25,,Ecuador,3
273,Bronx Grrl Chocolate,Dominican Republic,1181,2013,68.0,U.S.A.,2.75,,Dominican Republic,2
274,Burnt Fork Bend,Trinidad,1299,2014,72.0,U.S.A.,3.25,Trinitario,Trinidad,3
275,Burnt Fork Bend,Mindo,1299,2014,72.0,U.S.A.,3.5,,Ecuador,3
276,Burnt Fork Bend,Belize,1303,2014,72.0,U.S.A.,3.25,Trinitario,Belize,3
277,Burnt Fork Bend,Blend,1303,2014,72.0,U.S.A.,3.25,Blend, ,3
278,Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60.0,U.S.A.,2.5,,Ecuador,2
279,Cacao Arabuco,Puerto Rico,1606,2015,70.0,Puerto Rico,2.5,,Puerto Rico,2
280,Cacao Atlanta,Tumbes,1215,2014,75.0,U.S.A.,2.5,Criollo,Peru,2
281,Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75.0,U.S.A.,2.5,,Dominican Republic,2
282,Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75.0,U.S.A.,2.75,,Dominican Republic,2
283,Cacao Atlanta,Patanemo,600,2010,75.0,U.S.A.,2.25,,Venezuela,2
284,Cacao Barry,Grand 'Anse,1716,2016,65.0,France,3.5,"Trinitario, Criollo",Haiti,3
